K,T,method,rho_mean,rho_std,rho_error_mean,rho_error_std,adj_rel_error_mean,adj_rel_error_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,perron_alignment_mean,perron_alignment_std,oracle_cardinality_f1_mean,oracle_cardinality_f1_std,rep_mean,rep_std,rho_true_mean,rho_true_std
20,5000,constant_baseline,1.2779621128047944,0.01569430791490791,0.6279621128047944,0.015694307914907637,1.0091108534291569,0.0524147674471187,0.8323984811769349,0.013589340930665321,0.6721985299882695,0.01986295571037716,0.9613040809429402,0.0034417658063065127,0.6250048057995621,0.01657406393579511,1.5,1.2909944487358056,0.6500000000000001,5.874748045952207e-16
20,5000,flexible_spline_baseline,1.2875947633334535,0.02054406974023909,0.6375947633334534,0.02054406974023896,1.074852226129402,0.04323624036670011,0.7910983426558107,0.013321692815417684,0.6294153290804112,0.030756478062970792,0.96239002503086,0.004012512718077146,0.579753204891612,0.003038840535648547,1.5,1.2909944487358056,0.6500000000000001,5.874748045952207e-16
20,5000,observed_drive_adjusted,1.0772904112352935,0.04423297758298993,0.4272904112352933,0.044232977582989864,0.8745273837432288,0.05098114758539591,0.8277588403952851,0.01443940663746693,0.6869659650770673,0.0066891111327079325,0.9753945202807544,0.003081107488582978,0.6060999437144755,0.023363252736150576,1.5,1.2909944487358056,0.6500000000000001,5.874748045952207e-16
20,15000,constant_baseline,1.0569139285069251,0.013401568772742926,0.4069139285069251,0.013401568772743013,0.6069198227874202,0.02126791703207868,0.9529939626329237,0.009643977918097985,0.8979366246303705,0.019485334267711898,0.9764430199500675,0.0007175903934989167,0.7978680704214955,0.0371473812886204,1.5,1.2909944487358056,0.6500000000000001,5.874748045952207e-16
20,15000,flexible_spline_baseline,1.0548187412459267,0.011132676124708274,0.4048187412459266,0.011132676124708517,0.6219378800290385,0.023415491887978267,0.9406475404484521,0.006715540957561365,0.8787558422392028,0.018975871699489784,0.9766852578717682,0.001251721251227437,0.7793010368224207,0.042816695977676365,1.5,1.2909944487358056,0.6500000000000001,5.874748045952207e-16
20,15000,observed_drive_adjusted,0.8657907692025566,0.011295224653521988,0.21579076920255652,0.011295224653521684,0.48254869317577986,0.023222105537928552,0.9493477172528751,0.01189337778320094,0.9034576650264253,0.018636522847785383,0.9856854378908855,0.0018913166765095683,0.8057646142442361,0.027564085127999693,1.5,1.2909944487358056,0.6500000000000001,5.874748045952207e-16
50,5000,constant_baseline,2.3208487464105585,0.06837557839945411,1.6708487464105577,0.06837557839945389,1.5922531062064524,0.07077308863743223,0.7709445943120963,0.018072935733339564,0.42981384307247456,0.03962805114957629,0.9407462415135351,0.017871923486152824,0.46736287442925367,0.02189551050572217,1.5,1.2909944487358056,0.6500000000000006,9.19990224346638e-16
50,5000,flexible_spline_baseline,2.412679564008851,0.07692476252798706,1.7626795640088506,0.07692476252798666,1.6725932304538962,0.06876845484375764,0.7527349949583874,0.011648221274750063,0.41114210529470774,0.03500111786271498,0.9396157410453363,0.02051825676513454,0.45926530700461066,0.019554813914271548,1.5,1.2909944487358056,0.6500000000000006,9.19990224346638e-16
50,5000,observed_drive_adjusted,2.1191980938089365,0.06033887634783437,1.4691980938089357,0.060338876347834296,1.4748996543728967,0.06514611542866904,0.7719506008148551,0.015691190165876494,0.4473199547228245,0.03965302896301969,0.9474726086810684,0.014030767533264639,0.4756025593157239,0.01814365886343274,1.5,1.2909944487358056,0.6500000000000006,9.19990224346638e-16
50,15000,constant_baseline,1.5564765838558507,0.017005109650644407,0.9064765838558501,0.017005109650643856,0.8616136156853853,0.02746350759650169,0.9186033252287247,0.0033306929927150787,0.7535831441859421,0.01821359900897454,0.9568731626931456,0.012996051979797564,0.6917024277905897,0.015956030574339676,1.5,1.2909944487358056,0.6500000000000006,9.19990224346638e-16
50,15000,flexible_spline_baseline,1.565821874554239,0.018390104561301825,0.9158218745542382,0.01839010456130133,0.8843653499370135,0.028932591503630332,0.8970576635666911,0.00706729659638505,0.7305960032298223,0.016004278098530354,0.9569056438006832,0.012214425586181677,0.6723664903999009,0.01382337587815504,1.5,1.2909944487358056,0.6500000000000006,9.19990224346638e-16
50,15000,observed_drive_adjusted,1.3567347205006168,0.018697983019087584,0.7067347205006163,0.01869798301908696,0.7589684912987507,0.0238132208694768,0.9162578923161729,0.0032735344403416826,0.7619616818664836,0.015429398219366461,0.96522187722079,0.011077253571219558,0.7019075345911538,0.01534202310553992,1.5,1.2909944487358056,0.6500000000000006,9.19990224346638e-16
100,5000,constant_baseline,4.365457336902617,0.031162123930894653,3.715457336902617,0.031162123930894025,2.357620653786727,0.015474468905025858,0.7393337037206744,0.008762588774841686,0.2697876784825841,0.012714829953922929,0.9530558900474926,0.003953138494352727,0.3477822580645161,0.009979329573197294,0.5,0.7071067811865476,0.6500000000000001,5.087681048627601e-16
100,5000,flexible_spline_baseline,4.553548190741322,0.0024885780783104276,3.903548190741323,0.0024885780783113695,2.465831755655734,0.0005087264252287143,0.7336143376812478,0.007223868795857704,0.25746559234229444,0.010541692259794242,0.9531182528331044,0.003272917956543027,0.3377016129032258,0.009979329573197275,0.5,0.7071067811865476,0.6500000000000001,5.087681048627601e-16
100,5000,observed_drive_adjusted,4.139870504973599,0.05462034978916907,3.4898705049735987,0.05462034978916876,2.252653562521429,0.020115395486473904,0.7400684325615021,0.007272469426896037,0.28145147902074164,0.010100439044233031,0.9566671340404331,0.004909556120699886,0.3568548387096775,0.011404948083654042,0.5,0.7071067811865476,0.6500000000000001,5.087681048627601e-16
100,15000,constant_baseline,2.4883949778261587,0.029531155130465288,1.8383949778261588,0.02953115513046584,1.1929404014797091,0.008805321930429834,0.8702490292712067,0.01073923943998748,0.6295764157648088,0.0025458746291169123,0.9580076989769046,0.0007276185024088446,0.6008064516129032,0.008553711062740447,0.5,0.7071067811865476,0.6500000000000001,5.087681048627601e-16
100,15000,flexible_spline_baseline,2.5224578546181435,0.03452661166967431,1.8724578546181432,0.034526611669674544,1.2206973290549321,0.00917936075243915,0.8505685424473228,0.006161029995790235,0.6147515926884037,0.004075016088747861,0.9579306569440985,0.0006886051257121832,0.595766129032258,0.007128092552283818,0.5,0.7071067811865476,0.6500000000000001,5.087681048627601e-16
100,15000,observed_drive_adjusted,2.2729796345873092,0.021892598362310865,1.6229796345873089,0.0218925983623111,1.100231158406749,0.0006769772023793473,0.869221448354513,0.009609724774189973,0.6428691659134127,0.0020847486453737856,0.9630581655903804,0.0002560819502464792,0.6108870967741935,0.0057024740418269914,0.5,0.7071067811865476,0.6500000000000001,5.087681048627601e-16
