K,T,rep,density,rho_true,rho_naive,rho_corrected,radius_error_naive,radius_error_corrected,rel_frob_naive,rel_frob_corrected,support_auc_naive,support_auc_corrected,support_ap_naive,support_ap_corrected,support_f1_oracle_naive,support_f1_oracle_corrected,perron_cos_naive,perron_cos_corrected,projection_error
10,1000,0,0.43,0.6500000000000002,0.9079936244017033,0.6786319073903393,0.25799362440170304,0.02863190739033905,0.18609552882521432,0.05006199088524563,0.9959200326397388,0.9649122807017544,0.9949062069524351,0.9734883720930235,0.9534883720930233,0.9534883720930233,0.993302666865405,0.9997122293384622,0.05346047630681106
10,1000,1,0.55,0.649999999999999,0.9153180916502008,0.6295125675008961,0.2653180916502018,0.020487432499102898,0.23939470963972975,0.08115730482316914,0.9814141414141414,0.9733333333333334,0.9880037049877578,0.982282503088678,0.9454545454545454,0.9636363636363636,0.9871460808365835,0.9995353173269601,0.057992677055253114
10,1000,2,0.46,0.6499999999999997,0.9078680626494201,0.6673606479126457,0.2578680626494204,0.01736064791264602,0.2451704090162029,0.05532965068697639,0.9758454106280193,0.9830917874396136,0.9825087456271864,0.9877882797731568,0.9347826086956522,0.9782608695652174,0.9955897557877769,0.9996783978940088,0.059692348129343334
10,1000,3,0.42,0.6499999999999994,0.9071592856537456,0.6685155376366487,0.25715928565374624,0.01851553763664937,0.19389991479002724,0.03925467248124111,0.9889162561576355,0.9971264367816092,0.9864665269718462,0.9963062300018821,0.9047619047619048,0.9523809523809523,0.9849247550942354,0.9995085661338999,0.046773980311564885
10,1000,4,0.42,0.6500000000000005,0.9040174572932648,0.6803279909301045,0.2540174572932643,0.030327990930104076,0.18570294297857143,0.04222787234120497,0.9848111658456487,0.9975369458128078,0.9850554132511978,0.996900178511121,0.9523809523809523,0.9761904761904762,0.9348254174239736,0.9947925249159432,0.048631533838920334
10,5000,0,0.39,0.6499999999999996,0.9061266609989675,0.6577491780157865,0.25612666099896797,0.007749178015786895,0.16830872370849137,0.01659719588856303,0.9995796553173603,1.0,0.9993589743589744,1.0,0.9743589743589743,1.0,0.9914521755301059,0.999937672358746,0.018287760936723706
10,5000,1,0.46,0.6500000000000006,0.9096415743457562,0.6591810052454677,0.25964157434575563,0.009181005245467166,0.20904079156125915,0.020247124121426537,0.9887278582930756,1.0,0.988686883405713,0.9999999999999999,0.9347826086956522,1.0,0.9944786330436943,0.9999553941083131,0.02344485681228826
10,5000,2,0.44,0.6500000000000008,0.912616090791279,0.6568767673526044,0.26261609079127823,0.006876767352603563,0.18582145248219464,0.018981273749888332,0.9898538961038961,0.9991883116883117,0.9880160215375087,0.9990118577075099,0.9090909090909091,0.9772727272727273,0.9887519152888596,0.9999486449427756,0.019646167923024368
10,5000,3,0.4,0.6499999999999981,0.9071520314828114,0.6529044479939021,0.2571520314828133,0.0029044479939039913,0.18474722333063065,0.017325280147939118,0.965,0.9991666666666666,0.9650928475270857,0.9988095238095239,0.875,0.975,0.9786569349683517,0.9999383194322385,0.02211648291723381
10,5000,4,0.4,0.6500000000000006,0.9060411086920258,0.6626506153547317,0.25604110869202523,0.01265061535473111,0.2098357862414617,0.018021388359535814,0.9991666666666666,1.0,0.998765243902439,1.0,0.975,1.0,0.9878808015199575,0.9999144615331522,0.02256250305032884
