window,window_kind,event_type,q,bin,lags,half_life,drive_mode,drive_timing,K,T_eff,events_total,min_events_asset,rho_naive,rho_drive,delta_rho,critical_to_subcritical,rank1_delta,kappa_median,kappa_min,spike_ratio,loading_alignment,null_p_ge_observed,alg1_applicable,rho_alg1,zero_witness_pass_cols,zero_witness_min_sep,delta_rho_boot_p025,delta_rho_boot_p05,delta_rho_boot_p50,delta_rho_boot_p95,delta_rho_boot_p975,delta_rho_boot_pos_share,K_requested
FTX_collapse,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,30,4260,6421,216,0.9373415457140275,0.907952817179077,0.029388728534950448,False,0.5464671990218604,0.530418447073912,0.5266494740913146,5.74491061639451,0.9943854768461222,0.001996007984031936,False,,10,0.5284869832507288,0.005722373067559722,0.008742954802911984,0.05414277832431508,0.16852746201933763,0.19094914009361294,1.0,30
Control_2022_Oct,control,volume_burst,0.97,1min,60,10,loo_market_activity,lag1,30,4260,3836,130,0.9654682094664349,0.851612154315709,0.11385605515072583,False,0.4590058380989001,0.5813328228912813,0.5789364270632352,4.439187079247199,0.9738958931157586,0.001996007984031936,False,,10,0.5237215376666788,0.04401437405669638,0.05022046246280859,0.09942511651965741,0.15355061225039138,0.16395322546367297,1.0,30
Control_2023_Feb,control,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,30,4260,6421,216,0.9981401528540367,0.9381761596246894,0.05996399322934731,False,0.4094898307784524,0.4826054625225892,0.4776705574281277,3.341255291795563,0.9829468986571954,0.001996007984031936,False,,14,0.560854113139289,0.03783658689691986,0.04294482999933782,0.0728690820075033,0.1093327622367242,0.12417944898864276,1.0,30
Control_2023_Feb,control,volume_burst,0.985,1min,60,10,loo_market_activity,lag1,30,4260,1931,65,1.00182941062411,0.9495531976612501,0.05227621296285978,True,0.4821384377195973,0.5417363654523649,0.5377375233153279,2.962003697275122,0.9346601634992875,0.001996007984031936,False,,13,0.5060501369955134,0.01637889709440945,0.022931384384111974,0.05308637261860871,0.08950155472357996,0.10158527447673582,0.996,30
Control_2022_Aug_A,control,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,30,4260,6451,216,0.9442247799682242,0.8578496924158477,0.08637508755237644,False,0.50381357976795,0.568895510951023,0.5668197698318153,4.652733890752993,0.9882486412805702,0.001996007984031936,False,,12,0.5649246400979939,0.03820054162636285,0.04735023452177402,0.10631423478869212,0.19179477881534016,0.2065718567497418,1.0,30
Banking_crypto,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,25,5700,7133,288,0.9480496656428741,0.810606971720937,0.1374426939219371,False,0.4957517545608257,0.546774091238414,0.5444519466460361,5.904080624873537,0.9915234245356621,0.001996007984031936,False,,10,0.5346085370894035,0.0582731105171569,0.06927609940665662,0.13402523688026324,0.2548996077470603,0.2775549242185974,1.0,25
Control_2023_Feb,control,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,25,4260,5349,216,0.9826074045360564,0.9299136859769227,0.05269371855913374,False,0.44524448636136243,0.49953215031957154,0.4943617423644775,3.2908015346516364,0.9842976217346031,0.001996007984031936,False,,9,0.5085246287265086,0.022319790565677938,0.028110385089792685,0.06684418150633131,0.12002043243866974,0.13768329236046073,1.0,25
FTX_collapse,shock,volume_burst,0.97,1min,60,10,loo_market_activity,lag1,30,4260,3874,130,0.9182350008569067,0.9142241898462504,0.004010811010656257,False,0.5577420303989364,0.5684480895020467,0.565224945936275,5.703916772829007,0.9857298313652413,0.00998003992015968,False,,8,0.5154364167997826,-0.00048178746112690626,0.00041583800195236223,0.01775736281529028,0.13318097322966305,0.16465512377809455,0.964,30
