window,window_kind,event_type,q,bin,lags,half_life,drive_mode,drive_timing,K,T_eff,events_total,min_events_asset,rho_naive,rho_drive,delta_rho,critical_to_subcritical,rank1_delta,kappa_median,kappa_min,spike_ratio,loading_alignment,null_p_ge_observed,alg1_applicable,rho_alg1,zero_witness_pass_cols,zero_witness_min_sep,delta_rho_boot_p025,delta_rho_boot_p05,delta_rho_boot_p50,delta_rho_boot_p95,delta_rho_boot_p975,delta_rho_boot_pos_share,K_requested
Terra_Luna,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,5,5700,1440,288,0.9123233328280244,0.6895848330775114,0.22273849975051296,False,0.9280045267273193,0.6227040428170377,0.6218227761118865,2.620149489118823,0.9977527679616381,0.07692307692307693,False,,0,0.5487119102071967,0.10712448624332663,0.11657144642355165,0.21074078528901907,0.2620759885854367,0.291578671474489,1.0,5
Terra_Luna,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,10,5700,2880,288,0.9414400150166777,0.8002371358798908,0.14120287913678697,False,0.8222012039727412,0.6085568536648724,0.6027679394303658,3.5464692454951123,0.9958533890279501,0.07692307692307693,False,,1,0.5247886942167904,0.07700982560690547,0.11554116164548453,0.16058046291386463,0.22521441748509116,0.2371316395943773,1.0,10
Terra_Luna,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,15,5700,4319,288,0.9284171910604564,0.8913411798814203,0.03707601117903614,False,0.748527981723584,0.576220926889444,0.5713055391489406,4.074939625396781,0.9966139188229102,0.07692307692307693,False,,6,0.5007045066543522,0.02477196491705277,0.03179065347258679,0.06587367941042666,0.16141361275281252,0.17718893664528568,1.0,15
Terra_Luna,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,20,5700,5756,288,0.9284171910609658,0.8879863650974651,0.04043082596350067,False,0.5685716090970543,0.539965550487602,0.5360809678708355,4.8233746114520395,0.9939633023873975,0.07692307692307693,False,,6,0.5010029927904818,0.02975208067662939,0.034510719113602206,0.08860966756971861,0.16368222876435964,0.17525360771446596,1.0,20
Terra_Luna,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,25,5700,7193,288,0.9284171912568868,0.8874777655231055,0.04093942573378129,False,0.5136181540644518,0.5389964420264326,0.5364271727333736,5.416791811071383,0.9933436174561137,0.07692307692307693,False,,9,0.5182755096780081,0.029162783646266094,0.032204063778365453,0.09910103558061456,0.16361448847749638,0.16481673910762656,1.0,25
Terra_Luna,shock,volume_burst,0.95,1min,60,10,loo_market_activity,lag1,30,5700,8628,288,0.9470247024278234,0.8879218609602549,0.0591028414675685,False,0.4889096446408231,0.5307083906651477,0.5281218592293335,5.90441806600607,0.9899719193321106,0.07692307692307693,False,,11,0.5006598202594966,0.04203763546053984,0.043515429643576145,0.12471668882878245,0.18547857678808585,0.19112668045100245,1.0,30
Terra_Luna,shock,volume_burst,0.97,1min,60,10,loo_market_activity,lag1,5,5700,865,173,0.9184962355288785,0.7709321852682909,0.1475640502605876,False,0.8519379813384927,0.6780561594718619,0.6756781128634578,2.5811298291646745,0.9971621220229492,0.07692307692307693,False,,0,0.77648717011515,0.09234308569321797,0.09800328132897639,0.15124751638976097,0.24087563441583135,0.24214828727021925,1.0,5
Terra_Luna,shock,volume_burst,0.97,1min,60,10,loo_market_activity,lag1,10,5700,1730,173,0.9463928075132619,0.8288478559704981,0.11754495154276379,False,0.777404491106734,0.6606344216220497,0.6551793134993246,3.4318518691671014,0.9937227040414454,0.07692307692307693,False,,2,0.5278043861840848,0.05616453166008133,0.07703080163771281,0.1560042073459224,0.23119924738949169,0.255772497040503,1.0,10
Terra_Luna,shock,volume_burst,0.97,1min,60,10,loo_market_activity,lag1,15,5700,2595,173,0.9231880514332373,0.9037731686903235,0.019414882742913808,False,0.6256025561137636,0.6294624615466913,0.6247120048109223,3.7407633362762507,0.988388553105328,0.07692307692307693,False,,5,0.7528218980530065,0.00590116120818488,0.00892470099124358,0.0306035256708303,0.18721891262782978,0.19179592505375556,1.0,15
Terra_Luna,shock,volume_burst,0.97,1min,60,10,loo_market_activity,lag1,20,5700,3458,173,0.9231880514300154,0.9023841241772604,0.020803927252754928,False,0.5716208549834936,0.6033891159255647,0.5996218306251823,4.459046234761602,0.986912473044361,0.07692307692307693,False,,6,0.6412074653128226,0.004760622920388317,0.009724628662774949,0.027784850592911525,0.14579853404453766,0.15337395793136382,0.9583333333333334,20
